string,gn.AROU,gn.VAL,gn.DOM,gn.CNC,gn.IMAG,gn.FAM,gn.AOA,gn.SIZE,gn.GEND
inspired,6.4375,7.8788,6.7353,2.4118,2.9118,5.8065,4.6765,5.1765,3.3
install,4.0357,5.2667,5.625,3.5161,3.0645,5.9231,5,4.0625,4.7692
installed,3.9412,5.8571,5.6471,4.1765,3.3143,5.5313,5,3.5882,5
instance,3.375,5.5,5.1429,2.7813,2.1333,4.7931,5,2.8387,4.2
instant,5.4333,6.1613,6,3.2727,3,5.6538,4.5152,3.1,3.9688
instinct,5.7059,6.697,6.0882,2.4571,2.3939,5.7647,5.4857,4.5294,4.3939
institution,3.6129,4.3714,3.9394,5,4.5152,4.9375,5.6667,5.5882,4.9063
instructor,4.9688,6.0968,4.6875,4.7333,4.7586,5.1923,4.6129,4.25,4.7097
instrument,4.871,6.2727,5.9688,6.2813,6.5455,5.9333,3.2353,4.3226,3.625
insufficient,3.129,2.9697,2.7097,3,2.9375,5.2069,5.625,2.8065,3.875
insult,5.2647,2.5758,5,3.5143,4.0286,5.6875,4.0857,4.4571,4.4857
insulting,5.2424,2.3429,4.4706,3.125,3.9063,5.7097,4.4,5.0303,4.5294
insurance,3.5758,5.1212,4.8438,3.9118,3.0606,5.8333,5.5588,4.871,4.5938
intellect,6.303,7.3235,7.2059,2.7059,2.9118,5.5313,5.3235,5.5588,4.2941
intellectual,6.7429,7.8824,6.9394,2.8286,3.6,6.0625,5.7941,5.5455,3.7714
intelligence,6.6364,8,7.4375,3,2.9394,6.4138,4.2353,5.9412,4.1515
intelligent,6.5588,7.9706,6.9429,3.4848,4.2903,6.1034,4.2353,5.6667,3.6857
intend,3.8333,5.4545,5.75,3.0882,2.6286,5.2903,4.6,3.9394,4.0303
intense,7.1471,5.5,5.0588,2.4857,3.0588,5.7353,5.0857,5.7059,4.4
intercontinental,5.3529,5.6471,5.3636,3.6875,2.8824,3,5.8824,5.3824,4.2121
intercourse,7.6364,7.1515,5.8485,5.5,5.8788,5.4375,6.1818,4.7273,4
interest,6.0303,7,6.3429,2.7429,3.1429,6.129,3.8857,4.8857,3.7353
interesting,7.0303,7.8286,6.3235,2.7879,3.5143,6.0667,3.6286,5.4571,3.4286
interim,3.0741,4.7308,4.68,3.2692,2.3571,3.0303,6.4839,4.04,4.2308
interview,4.8438,4.9032,3.4063,4.5,4.8438,6.1429,4.6364,4.9688,4.7813
intimate,6.5882,7.2059,5.9412,2.8182,4.3438,6.069,5.8235,4.3636,2.2121
introduce,5.6129,6.5429,6.2424,3.5882,3.5758,5.7273,4.2353,4.2059,3.697
introduction,4.1875,5.4688,5.2188,3.9032,3.1667,6.3103,4,3.5625,3.9697
intruder,4.7353,2,3.3235,5.3333,5.1765,4.7333,4.7143,4.9412,5.4516
invader,5.6471,2.625,3.7941,4.9375,4.5,4.7667,4.5,5.5,5.6667
inventor,5.8065,7.2258,6.7742,5.0625,4.5484,4.5769,4.0323,4.7419,5.1333
invest,4.9063,6.3714,6.2857,3.9412,3.4286,5.4545,5.7353,4.5882,4.6176
investigation,5.2188,4.2121,4.7273,3.7273,4.1471,5.4839,5.0606,5.1515,4.6061
investment,4.4706,6.3235,6.0645,3.6571,3.2941,4.6364,5.7143,5.7576,5.2727
invoice,3.3636,4.4242,4.4706,4.6857,4.1765,4.5484,5.9429,3.2813,4.2813
iron,3.2727,4.9714,5.7647,6.0882,5.8529,5.6538,3.1429,3.6176,4.2727
ironing,2.2188,4.3235,4.4242,5.8485,6.1471,5.375,3.4571,3.1212,2.5938
irony,4.3438,4.6364,5.303,2.5,2.303,5.2333,5.6364,4.1667,4.1471
irresistible,7.4848,7.5455,6.129,2.9677,4.0606,5.7097,5.3548,5.129,2.3333
irritate,4.9143,2.6765,4.8857,3.3429,3.6471,5.5313,4.1714,4.4571,4.2188
irritating,5.2581,2.3438,4.4839,2.6333,3.1613,5.6786,4.2903,4.2903,3.9286
irritation,5.1935,2.6333,3.7742,3.1,3.3667,5.24,4.9375,3.7419,4.5357
island,5.4375,6.4848,5.0303,6.2667,6.4118,5.7,3,4.75,3.6667
islander,4.4516,5.4483,5,4.7333,4.5862,3.2,5.2424,3.6,4.5517
isle,3.303,5.5758,4.6563,5.6774,5.7,5.1034,4.4412,3.8788,3.4545
issue,4.2059,3.6765,4.5938,3.1471,3.0294,5.6061,4.3939,4.5294,3.6471
itchy,5.5313,3.0303,3.4333,3.6061,3.4516,5.6667,2.5,3.5,4.0741
item,3.2121,5.1471,5.1471,5.5938,4.697,6.0588,3.5294,2.8788,3.8125
ivory,4.5806,4.6897,5.2759,5.6786,5.3793,3.56,4.7407,4.1481,3.8846
jackal,4.7241,4.2188,5.3793,5.9375,5.6897,3.5588,5.1875,4.1563,4.75
jacket,4.4118,5.3529,5.5882,6.7273,6.8125,6.4,2.4,3.2286,4.6286
jacuzzi,6.2647,6.6765,6.0606,6.6875,6.6286,4.3333,4.7647,4.6176,3.1714
jaguar,6.6875,5.9375,5.5333,6.5313,6.5,4.9355,3.9091,4.8387,5.2188
jail,5.8286,1.9412,2.8857,6.4412,6.1714,5.7353,3.4286,5.1429,5.4242
jailer,3.9688,2.9091,3.7813,5.4688,4.6471,3.6129,5.0571,4.4375,5.6875
jam,3.5938,5.5484,5.4,6.0357,6.3333,6.0645,2.5758,2.4516,3.3636
jargon,3.7931,3.7333,4,3.3125,2.7188,4.4138,6.4848,3.9,4.9643
jazz,5.8125,6.5,5.3333,4.5938,4.6563,5.2857,4.2424,4.1818,4.4667
jealous,5.4848,2.2941,4.1818,2.4706,4.0303,6,3.6471,4.6875,3.0938
jealousy,5.5294,2.2,3.5758,2.6765,4.0294,5.7059,4.1429,5.1563,3.1765
jeans,4.9375,5.4138,5.5484,6.8519,6.5385,6.5714,3.5313,3.1875,4
jeep,4.3077,5.4262,5.6833,6.5692,6.4821,4.7963,3.9365,4.6667,5.5082
jelly,5.2121,6.3125,4.7353,5.875,6.6286,5.2903,2.0286,2.5429,3.2727
jellyfish,5.3438,4.3529,4.5152,6.6765,6.8065,5.5333,3.2647,2.7879,3.5882
jeopardy,6.0625,2.6857,3.0588,3.3939,3.1143,4.1471,5.7879,5.3125,4.3333
jet,5.6364,5.625,5.3438,6.2813,6.2813,5.3226,3.1765,5.3824,5.0938
jewel,6.5,7.2727,6,6.2857,6.5714,4.9667,3.2286,2.6857,2.0588
jewellery,5.5,6.3636,5.6667,6.4286,6.6667,6.129,3.0588,3.0588,1.7576
jewels,5.6471,6.9706,5.5143,6.0882,6.3824,5.6667,3.1471,3.0938,1.9118
jigsaw,3.4,5.5484,5.5625,6.2188,6.4,5.6207,2.5758,2.3226,3.9032
job,4.9394,6.2121,4.8857,4.6667,5.0938,6.3929,3.2,4.697,4.7813
jockey,3.9667,5.4286,5.5758,5.8387,5.9688,4.1667,4.6875,3.2813,5.6364
jog,4.5484,6.1563,6.2424,5.4706,6,5.7742,3.6563,3.25,3.6129
jogging,4.9355,6.2424,5.3226,5.5938,6.25,6.4,3.8333,3.9063,3.697
joiner,3.2581,5.3636,5.0294,6,5.8065,4.871,4.8235,3.7647,6
joint,5,5.3793,5,5.4138,5.4,5.0769,4.8125,3.375,4.3478
joke,6.7647,7.7059,6.3529,3.5,3.8235,6.3333,2.7059,4.3235,4.6364
jolly,5.9118,7.7647,6.1563,3.3714,4.6857,4.6875,3.4571,4.8788,4
journal,4.1818,5.6364,5.7813,6.0645,5.875,5.2903,4.9118,3.3871,3.4688
joy,6.9412,8.0606,6.5882,3.2353,4.9412,6.0333,2.9706,5.1176,2.6061
joyful,6.3333,7.9706,6.375,2.8857,4.4545,5.4333,3.8,4.9714,3.1515
jubilant,7.1563,7.6452,6.3939,2.4667,3.9333,3.5758,5.7879,5.6333,3.3235
judge,4.6,3.5143,4.8,5.2059,5.4412,5.2188,3.8571,4.8529,4.5714
jug,3.7941,4.9688,5.6875,6.4063,6.3939,5.7667,2.7714,2.7353,3.9091
juggle,4.9394,5.625,5.8438,5,5.7188,4.8276,3.4706,3.3824,4.697
juggler,3.9063,5.697,5.4063,6.2647,6.4286,4.3125,2.5,3.4118,4.9394
jumble,3.8889,3.6765,4.2857,3.8235,4.5152,4.9032,3.9722,4.2286,4.4286
jumper,4.0968,5.4286,4.9063,6.2258,6.2258,6.3,2.697,3.4063,4.5806
jungle,5.9375,5.5806,5.3,6.4688,6.3667,5.2667,2.7353,6.3125,4.8788
junk,3.2424,2.7353,4.7353,5.0882,5.5294,5.3226,3.4,3.4706,4.9091
jury,4.7188,4.6176,3.7941,5.5938,5.697,4.7,5.5,4.3939,4.6667
justice,6.1471,7.5143,6.2059,2.9714,3.5714,5.697,5.1429,5.7143,3.8182
justify,4.1471,5.375,5.5294,2.5882,2.3824,5.5667,5.3529,4.7879,3.625
kangaroo,5.8438,6.3548,5.0667,6.8889,6.8333,4.48,2.9667,4.4375,3.7857
keen,5.9063,6.9667,6.1667,2.6667,3.1212,5.2,4.6875,4.1613,3.7419
keg,4.2424,4.9688,5.129,5.8235,5.7059,3.7879,6.1212,3.5714,5.5455
ketchup,4.0303,5.4333,5.4375,6.4286,6.0909,6.3548,2.6176,3.3235,4.1613
key,4.2059,6.0294,6.0938,6.4375,6.3824,6.3667,2.4857,2.1471,4.303
keyboard,3.8438,5.2903,5.4194,6.75,6.7419,6.4828,3.6774,3.5161,4.3125
keys,3.2,5.6176,5.4412,6.5882,6.75,6.5313,2.5714,2.2571,4.0571
kick,5.7097,3.1818,5.7143,5.5517,5.8182,6.2667,2.0606,4.0909,5.4545
kidnap,5.3636,1.5152,3.6176,4.6452,5.2581,5.3125,4,5.1875,5.3333
kidnapped,5.7059,1.6667,2.4412,4.3235,4.0606,4.8438,4.0588,5.2353,4.0588
kidney,3.3714,5.5588,5,6.3529,5.8286,5.2903,4.8235,3,4
kids,5.3939,6.9091,5.4063,6.375,6.4688,6.2069,2.4412,4.1176,2.5882
kill,5.0857,1.4857,4.3714,4.2286,5.4545,5.3438,2.9429,5.8571,5.8529
killed,5.0286,1.7429,3.7143,5,5.0882,5.3438,3.1143,5.8182,4.9143
killer,6.303,1.303,4.875,5.3939,5.2258,5.4839,3.6061,6,5.6667
kilt,4.8529,5.6857,5.9429,6.7429,6.5,5.1143,3.7714,3.2647,6.1714
kin,4.6875,6.5161,5.3226,4.7059,4.1765,4.1,5.4706,4.1875,3.9412
kind,5.5313,7.7813,6.4667,2.8788,3.4848,6.4074,2.5806,4.5806,2.5
king,5.7059,6.2121,5.9118,6.1875,6.75,6.0833,2.3889,5.8,6.8056
kingdom,5.7742,5.871,5.1724,4.129,4.7333,4.8462,3.4516,6.3939,5.3333
kinky,7.6774,6.2188,5.75,3.303,4.4375,5.2,6.4242,4.0606,3.0313
kipper,2.8065,5.1333,5.2667,6,5.4828,3.8788,4.4,2.1613,4.2667
kiss,8,7.9143,6.2424,5.6857,6.5714,6.3333,2.0571,4.5588,2.2059
kissing,7.7273,7.6061,6,5.5313,6.2727,6.3077,2.9118,4.303,2.6364
kite,5.1875,6.2258,5.2813,6.3548,6.6,5.2222,2.4,3.0625,3.6563
kitten,5.1471,6.9118,5.3235,6.7576,6.6667,5.931,1.9412,2.2059,2.1471
kiwi,4.8438,6.0938,5.3636,6.5294,6.75,4.5938,3.4706,1.8235,3.4375
kneel,4.4545,5.1515,4.2353,5.5758,5.7429,5.5714,2.9429,3.1176,3.7419
knife,5.8125,3.3636,5.9677,6.5714,6.6667,6.4074,2.6061,3.0968,5.1724
knifed,5.4839,1.5882,3.2813,5.4688,5.3548,5.2188,5.5588,5.1563,5.8788
knight,5.4375,5.9091,5.4,5.1111,5.8966,4.4839,3.2258,4.1935,6.3226
knit,2.5588,5.5758,5.2188,5.3529,5.7273,4.75,3.4412,2.7097,2.2813
knock,4.875,4.8333,5.3871,5.8065,5.5806,6.3214,2.75,3.9032,4.5625
knot,3.4118,4.6,4.4706,6.2121,6.2424,5.2727,3.1714,2.6857,4.9394
knots,3.4194,4.125,4.1875,6.125,5.9697,4.8966,3.2857,2.6765,4.4688
know,5.129,6.7,7.0968,2.1613,2.3871,6.5909,2.2333,4.8065,4.1739
knowledge,7.0667,8.1563,7.2258,2.3871,2.7813,6.1667,4.2188,5.875,4.3929
knuckle,4.1563,4.5714,5.7714,6.4516,6.0303,5.3871,3.7059,2.625,5.6774
knuckles,3.8788,4.3939,5.6,6.4848,6.7667,5.3226,3.4412,2.7059,5.375
koala,5.8438,6.9355,5.3103,6.7778,6.7083,4.6071,3.4516,3.1333,3.6538
label,3.7143,4.5758,4.0286,5.2647,5.6364,5.6897,3.7941,3.125,3.5862
lace,4.875,5.8286,4.5429,6.3529,6.1176,5.4138,3.8,2.1471,1.9063
laced,5.4571,5.1176,5.2059,4.2353,5.0286,4.3226,4.7647,2.8485,3.0857
laces,4.0294,5.1714,4.8571,6.4286,6.4286,5.4516,2.4571,2.4706,3.3438
lacking,2.875,2.6061,2.9355,2.6061,2.3438,5,4.697,2.9677,4.1563
lad,4.5429,5.0606,5.3824,5.0571,5.3714,5.7576,4.6571,3.6857,6.7143
ladder,3.4118,5.5313,5.4063,6.5758,6.5152,5.7586,2.9118,4.2188,5.25
ladies,5.7353,6.4063,4.875,6.3,6.3636,6.5517,2.8235,4.3333,1.4706
lady,5.4688,6.5,5.75,6.3333,6.5938,6.2727,2,3.7813,1
ladybird,4.2941,6.7647,5.2353,6.6364,6.7879,5.7097,2.4857,1.5714,1.6389
lager,5,5.8387,5.3636,5.8667,6,5.7333,5.0303,3.3333,6
lagoon,5.697,6.0938,5.3571,6.1515,6.1613,3.8214,5.2121,5.5484,3.3939
lake,4.2903,6.375,5.3548,6.5357,6.7143,5.5417,3.0909,5.4375,3.4286
lamb,4.4848,6.2,4.8125,6.5333,6.8438,5.6774,2.0571,2.8065,2.9394
lamp,3.2941,5.4375,5.0667,6.4828,6.7742,6.3333,2.4848,2.6364,3.625
lance,4.4333,4.1111,5.3214,4.8,4.5556,2.9714,5.3103,4.0345,5.4615
land,3.9048,5.9688,5.6935,6.1695,5.918,6,2.8281,5.8923,4.8333
landing,4.0294,5.5,5.1765,4.8,4.9429,5.697,3.4,4.4412,4.3438
landscape,5.0303,6.3636,5.7419,5.7143,6.1765,5.5667,4.1471,5.7647,3.6765
lane,3.7059,5.2,4.5313,5.6471,5.7879,5.5625,3.2,3.4412,3.8485
language,4.9677,6.7667,5.8333,3.4063,2.4839,6.3103,3.2188,5.7188,3.1935
lantern,4.875,5.9706,5.6,6.5,6.5588,5.0323,4.2941,3.3143,3.6176
lapel,3,5.2143,4.7857,5.4286,4.68,3.1212,5.8966,2.6,4.3929
large,5.7742,6.0333,6,3,4.25,6.5238,2.6452,5.9688,5.1379
lark,3.9286,4.9667,5.0345,5.3929,4.8065,3.25,5.1786,2.8214,3.8966
last,3.2903,3.8485,4.2941,3.5806,3.5455,5.9,2.4286,3.9697,3.9375
latent,2.931,4.4138,4.2857,3.1071,2.8,3.3214,6.6364,3.6552,4.4063
laugh,7.4848,8.4118,7,4.2059,5.5758,6.6667,2.3529,5.2647,3.2353
laughter,7.3871,8.2258,6.5667,4.2813,5.1875,6.24,2.9677,5.1935,3.6667
launch,5.4063,6.0606,6.1875,3.2258,3.875,4.9,4.2258,5.0667,4.64
lavish,6.6875,6.8125,6.1875,3.0625,4.2258,4.0345,5.5161,5.3871,2.84
law,3.6429,5.4194,3.5484,3.6129,3,5.8462,3.7586,5.5625,4.9615
lawn,2.9,5.3448,5.0714,6.3226,6.1481,4.48,3.4194,4.3226,3.8462
lawsuit,4.697,3,3.6286,5.1471,3.7059,4.3939,6.0294,5.5938,5.2
lawyer,4.3333,5.2121,5.4242,6.3438,5.9375,5.6667,4.7353,4.2813,4.5294
lazy,2.9394,3.0286,5.1176,3.7353,4.7879,6.25,2.8,3.2813,4.6667
lead,4.25,5.6857,6.0571,4.2941,4.2857,5.1515,3.3429,4.5294,4.8485
leader,6.0571,6.8235,7.7714,4.7059,5.0286,5.9667,3.6,5.6571,5.2
leaf,3.6563,5.7813,5.4242,6.3871,6.2727,6.1034,2.1143,2.0323,3.3529
leaflet,3.3939,5.0625,4.7647,6.0323,6.2813,5.6774,4.3529,3,3.7813
league,3.7419,5.4286,5.2424,4.0968,3.6765,4.8065,4.4,4.7059,5.2941
lean,4.2353,5.6061,5,4,4.1471,5.2069,4.3889,2.9714,4.2571
learn,6,7.5143,6.6129,3.2941,3.6061,5.9667,2.7143,5.2941,3.4545
learning,5.6875,7.7273,6.8214,3.5484,3.9333,6.1852,2.7576,5.1875,3.5455
least,2.8,3.4706,3.8286,3.2941,2.4242,5.8182,3.4118,2.303,4
leather,4.7879,5.2059,5.6765,6.4063,5.8788,5.7241,4,3.4242,4.4848
leaves,3.9429,5.4516,5.5294,6.4286,6.4848,6.2813,2,2,3.3429
lecture,2.9697,4.2121,4.2727,5.1515,5.6176,6.5357,5.6471,4.8485,4.0303
lecturer,3.7353,5.6765,4.1515,6.2941,6.2424,6.1818,6.1765,4.0857,5.0294
ledge,3.5806,4.4848,4.6061,5.2,5.2941,5.3448,4.0294,3.1429,4.3103
leg,4.6061,5.3824,5.7059,6.6176,6.6471,6.5714,1.6765,3.5588,4.0882
legal,3.9375,5.0303,3.3438,4.1563,3.1818,5.9655,4.697,5,4.75
legend,5.7941,7.6176,6.4118,3.5455,3.4848,5.4839,4.2727,5.8065,5
leggings,4.0323,4.9677,5.0294,6.2121,6.2941,5.2333,4.4571,2.6765,1.9394
legion,5.2581,5,4.6,4,3.9688,2.9655,5.7742,6,5.6897
legislation,3.1212,4.5758,3.5161,4.2667,3.2813,4.7778,6.3235,5.0313,4.9688
legislator,3.3125,4.0938,4.7188,5.0938,4.3636,3.4688,6.5152,4.1935,5.3235
legs,5.5,5.6563,6.2414,6.8571,6.72,6.56,1.8387,3.1818,3
leisure,5.7647,7.2353,6.0294,3.4571,4.1765,5.4667,4.9412,4.7576,3.3529
lemon,4.9643,5.5,5.2857,6.7931,6.6296,6.28,2.8065,1.9688,3.4615
lemonade,4.6875,6.4194,5.7857,6.2414,6.2593,5.25,2.7188,2.6774,3.3214
lend,3.8333,5,4.6563,2.75,2.7,5.5862,3.9655,3.75,3.9583
length,4.0323,5.2667,5.4483,3,3.2188,6.24,3.1613,4.4,4.3704
leopard,5.75,5.6774,5,6.7097,6.8125,5.1034,3.1176,4.25,4.0606
leprosy,3.7188,2.3529,3.0968,6.0323,5.0313,3,6.1212,4.4839,4.3
lesbian,6.0588,5.4857,5.7353,5.1765,5,6.1515,5.6857,4.2941,1.6176
lesson,5.1176,5.7714,4.8235,4.7647,5.3636,6.2188,3.0286,4.4118,3.7714
letter,4.6857,5.8485,5.2059,6.2857,6.4118,5.9032,2.5758,2.7941,3.1515
letters,4.1212,5.5625,6.1563,5.5294,5.8065,6.1667,2.3529,3.5,3.6061
lettuce,2.6,5.5,5.3636,6.7188,6.7879,6.2857,3.0857,2.1944,3.1111
liar,5.4242,2.0625,4.697,3.3333,3.7419,6.1429,2.5455,4.6364,4.3636
liberty,6.0323,7.2727,6.9375,2.6471,2.9394,4.9655,5.7353,5.7097,3.8529
librarian,3.6875,5.8,4.5313,6.1818,6.1724,5.5758,3.6286,3.6176,2.4848
library,3.625,5.8438,5.5313,6.6563,6.6452,6.5385,3.4242,4.9091,3.7667
lice,3.7419,2.3,3.6452,6.3704,5.8065,4.24,3.5625,1.7,4.4231
lid,2.6563,5.1818,5.1818,6.4545,6.1818,6.1935,2.3429,2.1429,3.9333
lie,5.6061,2.3333,5.375,2.8182,2.8438,6.3793,2.6176,4.4688,4.1515
lies,5.2258,2.2333,3.5,2.5161,2.7419,5.84,2.6452,5,4.1111
life,6.7353,7.375,6.2353,2.7188,3.0606,6.7308,2.6563,6.375,3.5667
lift,4.4375,5.5882,5.303,5.0588,4.8857,5.6296,2.8286,4.2059,4.6364
light,5.6897,7.2581,5.9655,4.9677,5.6667,6.4545,2.069,4.7097,2.8214
lightbulb,3.2258,5.6452,5.3667,6.7742,6.7097,6.5185,2.9,2.6452,3.9688
lighthouse,3.9394,6.5882,5.2059,6.5152,6.7941,4.7097,3.1714,5.4857,4.1765
lighting,5.2903,6.0882,5.7647,5.5161,5.3529,5.9333,3.2,4.6667,3.7
lightning,7.0323,4.8485,3.7813,6.0303,6.75,5.8148,2.8235,5.5625,4.7576
lights,5.5,6.75,5.7353,5.9412,6.5588,6.2903,2.0882,3.9706,3.3333
like,5.5,7.3714,5.9063,3.0588,3.1176,6.7188,1.8824,4.1515,2.9714
lilac,4.3793,5.875,4.8387,5.1333,5.4839,4.4615,4.1875,3.0769,2.12
limb,3.5455,5,5.0588,6.3939,6.1143,5,4.5714,3.5714,4.2813
limber,4.6452,5.5,5.5517,4.1333,3.9375,3.3226,5.4839,3.5333,4.3226
lime,4.6786,5.1923,5.2857,6.4516,6.5714,5.6538,3.5938,2.0313,4.04
limit,3.5429,4.1471,3.4,2.8235,2.4545,5.6563,4.1429,3.7143,4.0882
limited,4.1613,3.1613,3.0303,2.4688,2.3226,5.2857,4.5455,2.8333,3.92
limousine,5.1471,6.3529,6.0625,6.5429,6.2353,4.4706,4.8286,4.8824,3.4706
limp,3.2941,3.6667,3.9118,4.7188,4.8438,5.1,4.2647,3.1765,4.1613
line,3.2258,4.9412,4.7097,5.5294,6.0882,5.7,2.1714,3.1471,4.0938
linear,3.2059,5.4,4.6176,3.8571,3.9706,4.5161,5.9444,3.8235,4.3429
link,3.9355,5.4848,5.5,3.5313,4.1034,5.3103,3.5455,2.9063,4
lion,6.6923,5.6406,5.4426,6.7778,6.8889,5.6667,2.0635,5.0484,5.7937
lioness,6.6471,5.8,5.4688,6.5588,6.6563,4.8438,3.5714,5.1875,1.4412
lip,5.2903,5.625,5.6364,6.4,6.7857,6.2857,1.9091,2.1875,2.8438
lips,6.8438,6.5185,5.3438,6.7273,6.5714,6.4545,2.0968,2.8387,2.4286
lipstick,5.2903,5.6333,5.2667,6.4815,6.7037,5.7083,3.4063,2.2414,1.3448
liquid,4.1765,5.3939,4.9375,6.0909,6.0857,6.0357,3.2,3.6176,3.6176
liquor,6.2059,4.9091,4.9412,6.3235,6.2647,5.7273,5.5294,3.5294,4.9706
list,3.0303,5.375,5.0313,5.3429,5.7647,6.2069,2.7647,3.2286,3.7647
listless,3.2903,4.0323,4.2258,2.8065,3,3.2667,6.1212,3.3438,3.8621
literature,5.8788,6.9706,5.8788,5.3824,5.4545,5.7742,5.3529,4.9429,3.1818
litre,3.3125,5.2188,5.1765,5.6176,5.3529,6.2069,4.6,3.4242,4.129
litter,3.1176,3.2571,5.0857,5.7879,6.1471,5.9667,3.1176,2.9118,4.5882
little,3.4063,4.6667,4.5313,3.9697,4.2424,6.3667,1.9091,1.75,3.2424
live,6.5,7.6176,6.6364,4.3235,4.4848,6.0938,2.5882,5.4194,3.5161
lively,6.6563,7.6667,6.9697,3.5455,4.6364,5.6333,3.7714,4.875,3.4706
lizard,4.6875,5.0294,5.5313,6.5806,6.7576,5.5357,2.5882,2.7813,5.0303
llama,3.8182,5.8125,5.2059,6.6471,6.6563,4.3438,4.0882,3.8235,3.7941
load,4.3333,4.9714,5.3824,4.2353,4,5.6,4.0294,4.7419,5.1143
loaf,3.7419,5.6452,5.1379,6.2667,6.3667,5.6923,3.1765,2.3333,4.1786
loan,3.7188,3.6857,3.4545,4.4,3.6,5.7333,5.2571,4.6,4.6176
lobster,4.8824,5.2941,5.2727,6.7647,6.7,4.9697,3.7941,3.1765,4.4706
locate,4.5143,5.6571,5.3429,3.8857,3.4706,4.9063,4.4857,4.1176,4.0571
location,4.303,5.3438,5.4063,4.6364,3.5758,6.2258,3.9697,4.7879,3.9375
lock,4.0857,4.7813,5.1176,6.1176,6.2571,5.8438,2.9143,2.8,4.7941
locker,2.7879,5.0294,5.1935,6.3333,6.3143,5.6364,3.8824,3.0606,4.7273
locket,4.5588,6.5,5.3871,6.3529,6.6875,5,4.0882,1.8286,2.1389
log,3.2188,5,4.871,6.2258,6.1613,5.6207,2.6667,3.125,4.8387
logs,3.1875,4.8182,5.2414,6.5625,6.5161,5.4333,3.0909,3.5333,5.0625
loins,5.6,5.1,5.3,5.2667,4.8387,2.9333,6.2727,3.3548,4.7813
lonely,3.8,1.8438,3.0968,2.7273,3.4839,6.48,3.5806,4.3438,3.8214
long,4.1515,4.875,5.3143,3.6571,4.2941,6.4138,2.0588,5,4.6667
longing,4.9688,4.303,3.9706,2.4286,3.2727,4.7097,4.7714,4.7941,3.4839
loop,4.2059,5.3438,4.7647,4.5758,5.5294,5.3214,3.3235,3.5,3.3939
loophole,3.7,4.069,4.931,2.5625,2.7097,3.7778,5.9697,3.5484,4.0667
loose,3.8,4.2581,4.75,3.3125,3.8125,4.7308,3.3125,3.7419,3.44
lord,5.0938,4.5152,4.4,4.3871,3.931,4.2963,3.5161,4.9688,6.0968
lorry,3.0303,4.6286,5.5294,6.8,6.875,5.8077,2.4571,5.3529,5.6364
lose,3.9091,2.6176,3.7188,3.8182,3.4688,6.0323,2.5,3.8235,4.1
loser,3.6875,2.4118,3.2353,3.0909,3.5152,5.2759,3.3824,3.625,4.5588
lost,4.3667,3.0313,2.7419,3.5,4.1613,6.3548,2.5625,4.0968,3.9697
lottery,5.5429,6.3333,4.0882,5.0857,4.8788,5.6364,4.1714,4.9412,4.1471
loud,5.5882,4.4,5.5882,4.25,3.6774,6.4667,1.8571,5.5294,4.9394
louse,3.4828,3.2258,4.4483,5.3871,5.2667,3.0313,4.5,2.069,4.4828
lousy,3.5,2.5588,3.9118,2.4706,2.7647,4.0625,5,3.7879,4.5455
lovable,6.7647,8.2941,5.6286,3.2286,4.3636,5.8387,3.6471,5.5152,2.1714
love,8.1471,8.6471,5.1875,2.7188,4.3939,6.88,1.9118,6.2941,2.2941
lovely,6.3824,7.7941,5.7059,3.2647,3.9063,6.2424,3,4.3636,2.0588
lover,7.4412,8.0286,5.4412,4.3939,5,6.1429,5,5.1429,3.2
loving,7.2059,8.6,6.2571,2.6176,4.6364,6.3226,2.8571,6.1765,2.3143
low,3.3529,3.2857,3.7429,3.9706,3.7714,5.9032,2.2571,2.8286,4.0303
loyal,6.2424,8.1563,5.8485,3.0909,3.0909,5.7586,4.2121,5.3548,3.2121
loyalty,5.6286,8.2059,6.2,2.1765,2.9714,5.6061,4.9429,5.6471,3.5143
lubricant,6.2727,6,5.7188,5.6,5.3235,5,6.4571,3.3438,4.1176
lubricate,5.6875,5.2059,5.0909,4.8125,4.3438,4.6774,6.2941,4,4.5313
luck,6.8485,7.9143,4.8824,2.2059,3.4,5.931,2.5882,4.7647,3.4
lucky,6.625,8.0968,5.3667,2.2581,2.5806,6,2.8621,4.8065,3.4286
luggage,3.3824,5.2059,5.4571,6.5758,6.4706,5,3.8857,4.1389,4.0588
lumber,3.3548,4.6207,5.1,5.0645,4.6774,3.871,5.1875,4.3226,5.5
lump,3.4516,3.8125,4.3226,5.697,5.4839,5.3,3.2121,3.4848,3.9091
lunch,5.0294,6.1875,5.6667,5.6061,5.7742,6.7419,2.0571,3.1176,3.4412
lunching,4.1613,5.9355,5.6429,4.2759,4.6452,3.3871,5.2188,3.5313,3.0645
lungs,4.3714,6.5313,5.1176,6.5588,6.5455,6.1667,3.2571,3.5714,4.0882
lure,5.2727,3.25,3.9394,2.9412,2.9412,4.4688,5.5313,3.9063,4.0909
luscious,7.0968,7.4063,5.7059,2.9118,4.3939,3.4375,5.6667,4.6563,2.0313
lush,5.2258,6.9394,5.3824,2.8,3.1765,4.6364,5.2857,3.0909,2.4545
lust,7.4242,5.5429,4.7353,2.7941,4.0882,5.7,5.9118,5.4412,3.5758
luxury,6.3333,7.8387,5.9,3.3548,5.0625,5.2857,4.7813,5.2581,2.1563
